127.0.0.1 - - [21/Mar/2023:11:45:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/RES_NOT_FOUND HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108055
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 107828
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:53 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:45:54 +0530] "GET /Pharmacy/image/04.jpg HTTP/1.1" 200 624753
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/RES_NOT_FOUND HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:33 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:34 +0530] "GET /Pharmacy/image/04.jpg HTTP/1.1" 304 -
