127.0.0.1 - - [06/Apr/2023:11:24:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108097
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:29 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 200 107828
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:45 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:11:24:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
