127.0.0.1 - - [15/May/2023:11:24:50 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/Login.xhtml HTTP/1.1" 200 6355
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/watermark/watermark.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:11:24:51 +0530] "GET /HealthPharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
